RID,f_ipv4,service_type,program,length_bp,dbid,dbsize_bp,started_at,run_time
T88CMPTK014,-1541350977,11,0,497,6154732,251782689291,2019-10-02T00:03:32.747,4
T88CM29Y014,-2103794725,11,0,1682,6154732,251782689291,2019-10-02T00:03:33.277,3
T88CNU56014,1281542305,11,0,763,6154732,251782689291,2019-10-02T00:03:33.823,4
T88CP2FV014,1131505238,8,0,337,0,123456,2019-10-02T00:03:34.853,2
T88CRPJZ014,-1378335882,11,1,393,3820422,85971353635,2019-10-02T00:03:35.417,28
T88CRXY4014,1063578045,11,0,50,6154732,251782689291,2019-10-02T00:03:35.433,2
T88CRYBF014,1661804234,1,0,20,6156572,2818974548,2019-10-02T00:03:35.963,8
T88CT0YG014,1748896295,8,0,460,1335343,180315393294,2019-10-02T00:03:37.557,3
T88CTFUK014,755321675,6,1,130,3820442,28272785,2019-10-02T00:03:38.103,1
T88CUETS014,443026023,11,0,635,6154732,251782689291,2019-10-02T00:03:38.713,5
T88CUU38014,40491465,11,0,158,6154732,251782689291,2019-10-02T00:03:38.700,5
T88CVHF7014,-1332931660,8,0,148,0,123456,2019-10-02T00:03:39.810,3
T88CXK3S014,-269806173,1,2,432,3820422,85971353635,2019-10-02T00:03:42.073,33
T88CY73Z014,1389811421,11,0,468,6154732,251782689291,2019-10-02T00:03:42.607,7
T88CY9E2014,-1125090190,1,0,2119,6154732,251782689291,2019-10-02T00:03:43.153,11
T88CZUR2014,918389388,11,1,190,3820422,85971353635,2019-10-02T00:03:44.217,28
T88D1PMZ014,-81956692,11,0,213,6154732,251782689291,2019-10-02T00:03:45.793,3
T88D1RUW014,383169537,11,1,551,3820422,85971353635,2019-10-02T00:03:56.440,2
T88D3KB3014,-1181222735,1,0,578,6154732,251782689291,2019-10-02T00:03:47.903,12
T88D3HRH014,1278581997,11,1,59,3820422,85971353635,2019-10-02T00:03:56.440,58
T88D3VN4014,-1378335882,11,1,393,3820422,85971353635,2019-10-02T00:03:47.887,38
T88D33KC014,-185920093,1,0,432,6154732,251782689291,2019-10-02T00:03:48.450,10
T88D6NTY014,406888582,11,0,561,6154732,251782689291,2019-10-02T00:03:50.577,7
T88D6NGU014,496896147,8,0,592,1280213,228942850764,2019-10-02T00:03:50.590,6
T88D7W9Y014,65920368,1,0,24,6154732,251782689291,2019-10-02T00:03:51.653,12
T88D7J89014,530962838,11,0,443,62063,251782689291,2019-10-02T00:41:04.283,17
T88D70B2014,-357794446,8,0,907,779763,270748224244,2019-10-02T00:03:56.423,15
T88DB9P8014,1224866106,8,0,118,0,123456,2019-10-02T00:03:55.813,2
T88DBDSZ014,-1989552496,8,0,1329,779763,270748224244,2019-10-02T00:03:58.580,8
T88DDRU9014,-544575037,11,0,292,62063,251782689291,2019-10-02T00:41:04.283,13
T88DDK6H014,2130789544,8,0,11046,62073,251782689291,2019-10-02T00:04:00.237,302
T88DFCUJ014,-305345069,11,0,320,6154732,251782689291,2019-10-02T00:03:59.627,4
T88DH0JH014,-393561051,11,0,431,62063,251782689291,2019-10-02T01:52:03.733,19
T88DNANB014,1224866106,8,0,115,0,123456,2019-10-02T00:04:06.220,2
T88DPK0N014,106898130,8,0,951,0,123456,2019-10-02T00:04:07.343,2
T88DPWV1014,839739010,11,0,1554,6154732,251782689291,2019-10-02T00:04:07.360,3
T88DR6SG014,362693340,1,0,38,1335343,180315393294,2019-10-02T00:04:10.110,4
T88DRC84014,1812553938,11,0,684,6154732,251782689291,2019-10-02T00:04:07.953,13
T88DR3E5014,-1725110381,11,0,189,62063,251782689291,2019-10-02T02:31:04.573,10
T88DR7YY014,-121581410,11,0,1157,6154732,251782689291,2019-10-02T00:04:08.487,3
T88DS456014,-1440737787,1,0,2362,6154732,251782689291,2019-10-02T00:04:11.250,383
T88DSJMT014,-389810998,11,1,425,3820422,85971353635,2019-10-02T00:04:09.017,35
T88DTDVW014,40491465,11,0,158,6154732,251782689291,2019-10-02T00:04:10.127,2
T88DU4VM014,-935602804,11,0,398,6154732,251782689291,2019-10-02T00:04:11.237,3
T88DW3P0014,-357794446,8,0,907,779763,270748224244,2019-10-02T00:04:39.363,10
T88DX87R014,-1378335882,11,1,928,3820422,85971353635,2019-10-02T00:04:13.360,54
T88DZB8A014,-961126221,8,0,278,0,123456,2019-10-02T00:04:15.440,5
T88E0JPG014,-25244194,8,0,564,779763,270748224244,2019-10-02T00:04:21.253,13
T88E2VN1014,-1989552496,8,0,1329,779763,270748224244,2019-10-02T00:04:28.143,13
T88E25BD004,890834562,1,2,407,3820422,85971353635,2019-10-02T00:55:48.157,99
T88E324H004,-317190526,11,1,38,3820422,85971353635,2019-10-02T00:08:30.447,243
T88E4KYX014,-1627865700,6,1,485,3820442,28272785,2019-10-02T00:04:20.690,5
T88E469P014,1694562944,1,0,20,1335343,180315393294,2019-10-02T00:04:25.440,3
T88E47RB014,1224866106,8,0,2487,0,123456,2019-10-02T00:04:21.267,2
T88E5H43014,1369114703,8,0,738,0,123456,2019-10-02T00:04:21.283,2
T88E5MS5004,-317190526,11,1,39,3820422,85971353635,2019-10-02T00:11:03.323,201
T88E5TA2014,-1930523042,11,0,213,62063,251782689291,2019-10-02T00:51:38.680,10
T88E797Y004,890834562,8,0,407,6154732,251782689291,2019-10-02T00:55:56.157,138
T88E7ZKH004,-317190526,11,1,83,3820422,85971353635,2019-10-02T00:11:19.517,233
T88E72CW014,-153672097,1,0,150,6154732,251782689291,2019-10-02T01:45:50.110,630
T88E7EMF014,1063578045,11,0,50,6154732,251782689291,2019-10-02T00:04:26.487,3
T88E7RH4004,890834562,8,0,407,93623,561692980667,2019-10-02T00:56:04.250,80
T88E9SJG004,-317190526,11,1,31,3820422,85971353635,2019-10-02T00:11:22.237,231
T88E9P0X014,-1378335882,11,1,467,3820422,85971353635,2019-10-02T00:04:39.397,79
T88EAS05014,50032348,8,0,4688,2938612,3257319537,2019-10-02T00:04:29.207,11
T88EA5U6014,1238777030,1,0,54,6154732,251782689291,2019-10-02T00:04:27.033,17
T88EBMPS004,-317190526,11,1,39,3820422,85971353635,2019-10-02T00:11:45.223,273
T88EBX0J014,-341501729,11,0,720,6154732,251782689291,2019-10-02T00:04:28.110,3
T88EBHPE004,890834562,8,0,407,6154732,251782689291,2019-10-02T00:56:04.280,144
T88EB0NM014,1515846859,1,0,378,6154732,251782689291,2019-10-02T00:04:28.127,12
T88EBCEM014,1812553938,11,0,684,6154732,251782689291,2019-10-02T00:04:28.127,13
T88ECXEE014,-1958183119,11,0,524,6154732,251782689291,2019-10-02T00:04:28.673,4
T88ED3JW004,-317190526,11,1,42,3820422,85971353635,2019-10-02T00:12:55.830,216
T88EER0R014,-1045357366,1,0,21,6154732,251782689291,2019-10-02T00:04:30.253,14
T88EFSU6014,1131505238,8,0,491,0,123456,2019-10-02T00:04:31.970,2
T88EHE3U014,-1503264433,1,0,306,6154732,251782689291,2019-10-02T00:04:34.067,10
T88EJ42X014,342408650,11,1,504,3820422,85971353635,2019-10-02T00:04:37.207,8
T88EKYXK014,-1838318962,1,3,28,3044012,1065365425,2019-10-02T00:04:35.660,10
T88EPVEV014,-830639988,8,0,1560,2938612,3257319537,2019-10-02T00:04:40.520,5
T88ER5A7014,2007314217,11,0,2229,6154732,251782689291,2019-10-02T00:04:39.350,3
T88ERSC4014,-353984398,1,0,1477,62063,251782689291,2019-10-02T00:04:41.270,437
T88EV8NN014,-337547321,1,1,505,3820442,28272785,2019-10-02T00:04:43.583,2
T88EVZ2J014,-1180497773,1,0,694,6154732,251782689291,2019-10-02T00:04:46.287,6
T88EW7V1014,-1,8,0,520,779763,270748224244,2019-10-02T00:04:46.833,12
T88EW1ZD014,-153672097,1,0,150,6154732,251782689291,2019-10-02T01:52:12.203,710
T88EZ6YJ014,1063578045,11,0,50,6154732,251782689291,2019-10-02T00:04:48.427,2
T88F0H5P014,1812553938,11,0,684,6154732,251782689291,2019-10-02T00:04:48.990,13
T88F0C9A014,-1838318962,1,3,25,3044012,1065365425,2019-10-02T00:04:48.973,8
T88F1V2H014,-81956692,11,1,71,3820422,85971353635,2019-10-02T00:04:49.520,19
T88F66WN014,-1,8,0,2630,779763,270748224244,2019-10-02T00:04:56.973,8
T88F964C004,-317190526,11,1,101,3820422,85971353635,2019-10-02T00:13:31.863,260
T88F9D94014,-640545644,11,0,471,6154732,251782689291,2019-10-02T00:04:58.070,6
T88FAHMD004,890834562,8,0,407,6154732,251782689291,2019-10-02T00:56:04.297,138
T88FAWCM004,890834562,1,2,407,3820422,85971353635,2019-10-02T00:56:20.860,106
T88FBMMG004,890834562,8,0,407,93623,561692980667,2019-10-02T00:56:30.610,344
T88FB264004,-317190526,11,1,117,3820422,85971353635,2019-10-02T00:14:03.630,233
T88FBACN014,-1683139860,1,0,26,6154732,251782689291,2019-10-02T00:05:00.230,15
T88FD2DN004,1696075394,8,0,467,93623,561692980667,2019-10-02T00:05:04.463,93
T88FDSBY014,404491906,1,0,2592,6154732,251782689291,2019-10-02T00:05:05.040,10
T88FEKB7014,-88612230,11,0,473,6154732,251782689291,2019-10-02T00:05:02.323,5
T88FEH9F014,187505866,11,0,529,6154732,251782689291,2019-10-02T00:05:02.337,7
T88FE1S0014,-520725665,11,0,1232,6154732,251782689291,2019-10-02T00:29:20.710,5
T88FENF7014,1415135159,8,0,254,62463,251782689291,2019-10-02T00:05:05.587,12
T88FF8G3004,890834562,8,0,407,6154732,251782689291,2019-10-02T00:56:30.627,171
T88FFNBM014,-520725665,11,0,1232,6154732,251782689291,2019-10-02T00:34:27.677,4
T88FFB1Z004,890834562,1,2,407,3820422,85971353635,2019-10-02T00:56:33.833,112
T88FFKJK004,-317190526,11,1,198,3820422,85971353635,2019-10-02T00:14:25.367,223
T88FF5H3014,939882956,1,0,2583,6154732,251782689291,2019-10-02T03:21:01.090,112
T88FFPK1014,232045162,11,0,220,6154732,251782689291,2019-10-02T00:05:04.447,4
T88FGF8V014,-1125090190,11,0,2119,6154732,251782689291,2019-10-02T00:05:07.213,3
T88FHS0B004,1696075394,11,1,89,3820422,85971353635,2019-10-02T00:05:13.883,254
T88FHG7E004,-317190526,11,1,508,3820422,85971353635,2019-10-02T00:14:30.193,224
T88FHJT9014,-337547321,6,1,505,3820442,28272785,2019-10-02T00:05:06.667,3
T88FJ8Z6014,2130789544,8,0,10750,62073,251782689291,2019-10-02T00:05:13.837,238
T88FKJKT014,1208721595,1,0,40,6154732,251782689291,2019-10-02T00:05:09.917,5
T88FKWXB004,1696075394,8,0,467,6154732,251782689291,2019-10-02T00:05:13.900,479
T88FKZTF014,839739010,11,0,1596,6154732,251782689291,2019-10-02T00:05:07.743,4
T88FKA1N004,1696075394,1,2,467,3820422,85971353635,2019-10-02T00:05:13.930,268
T88FKK2H014,-153672097,1,0,430,6154732,251782689291,2019-10-02T01:56:21.190,742
T88FM9S8004,-317190526,11,1,35,3820422,85971353635,2019-10-02T00:14:30.240,265
T88FN2VY004,890834562,8,0,407,93623,561692980667,2019-10-02T00:56:30.643,344
T88FPUBS014,1661804234,1,0,20,6156572,2818974548,2019-10-02T00:05:10.963,5
T88FSF74004,-317190526,11,1,73,3820422,85971353635,2019-10-02T00:14:53.150,249
T88FTPDS004,890834562,1,2,407,3820422,85971353635,2019-10-02T00:56:33.863,110
T88FT50N014,1131505238,8,0,508,0,123456,2019-10-02T00:05:13.837,2
T88FVYGD014,496896147,8,0,587,1280213,228942850764,2019-10-02T00:05:16.057,5
T88FW80T014,-1606134492,8,0,652,0,123456,2019-10-02T00:05:17.183,1
T88FW2JD014,-2122840960,1,0,1070,6154732,251782689291,2019-10-02T00:05:19.277,13
T88FYHWM014,-1332931660,8,0,1544,779763,270748224244,2019-10-02T00:05:21.400,12
T88FZS1D014,-1682726993,1,0,330,6154732,251782689291,2019-10-02T00:05:19.840,13
T88FZJ2S014,404491906,1,0,2592,6154732,251782689291,2019-10-02T00:05:19.840,19
T88G0KXN014,-1125090190,1,0,2119,6154732,251782689291,2019-10-02T00:05:22.807,9
T88G32M2014,-724318253,8,0,967,779763,270748224244,2019-10-02T00:05:25.683,12
T88G37FD014,893690276,1,2,6983,3820422,85971353635,2019-10-02T00:05:24.527,82
T88G48WX014,-1596735673,8,0,490,0,123456,2019-10-02T00:05:25.150,1
T88G5T4G014,-530715471,8,0,3585,779763,270748224244,2019-10-02T00:05:27.777,14
T88G7W4N014,457244572,8,0,756,0,123456,2019-10-02T00:05:28.307,5
T88G8PZJ014,-153672097,1,0,440,6154732,251782689291,2019-10-02T02:02:20.537,663
T88G9EB2014,453920397,1,2,226,3820422,85971353635,2019-10-02T00:05:29.353,32
T88GDA0E014,-1013656675,1,0,1225,0,123456,2019-10-02T00:05:34.277,2
T88GFUPR014,210625995,11,0,882,6154732,251782689291,2019-10-02T00:05:36.373,4
T88GG40E014,-67277494,11,1,465,3820422,85971353635,2019-10-02T00:05:36.920,62
T88GGMNE014,1694562944,1,0,20,6154732,251782689291,2019-10-02T00:05:41.700,8
T88GJ7JD014,1063578045,11,0,50,6154732,251782689291,2019-10-02T00:05:40.653,3
T88GJNB7014,587923403,11,1,381,3820422,85971353635,2019-10-02T00:05:39.013,38
T88GKNH9014,823529090,8,0,1762,3819592,2015860742,2019-10-02T00:05:40.090,2
T88GK9WD014,-1378335882,11,1,467,3820422,85971353635,2019-10-02T00:05:40.123,39
T88GNK0H014,939882956,1,0,236,6154732,251782689291,2019-10-02T03:21:27.860,139
T88GNWN6014,404491906,11,0,2592,6154732,251782689291,2019-10-02T00:05:42.233,3
T88GSBCW014,2130770560,11,0,24748,6154732,251782689291,2019-10-02T00:05:44.843,13
T88GTSZP014,1716244080,11,0,1451,6154732,251782689291,2019-10-02T00:05:48.483,24
T88GUH3V014,-153672097,1,0,290,6154732,251782689291,2019-10-02T02:08:17.037,734
T88GUK78014,-357794446,8,0,907,779763,270748224244,2019-10-02T00:05:49.750,10
T88GUCZD014,106898130,8,0,1334,0,123456,2019-10-02T00:05:47.280,2
T88GU8FB014,-1893331353,1,0,25,6154732,251782689291,2019-10-02T00:05:47.250,18
T88GUVN0014,-1532839797,11,1,199,3820422,85971353635,2019-10-02T00:06:13.453,147
T88GVDBS014,1515846859,1,0,1494,6154732,251782689291,2019-10-02T00:05:48.500,15
T88GW4D1014,67034471,11,0,101,6154732,251782689291,2019-10-02T00:05:51.420,4
T88GWYWA014,1810510865,11,1,561,3820422,85971353635,2019-10-02T00:05:48.547,39
T88GWB9S014,1793189541,11,1,524,3820422,85971353635,2019-10-02T00:24:25.290,767
T88GWFEX014,338926341,1,2,276,3820422,85971353635,2019-10-02T01:02:56.827,302
T88GX2H2014,-1682726993,1,0,332,6154732,251782689291,2019-10-02T00:05:49.797,19
T88GXF9W014,404491906,11,1,204,3820422,85971353635,2019-10-02T00:05:49.767,47
T88H19KD014,-420965022,8,0,1609,1849913,1107989085,2019-10-02T00:05:53.563,24
T88H1ZSX014,1335164499,1,2,321,3820422,85971353635,2019-10-02T00:29:38.757,564
T88H16V3014,338926341,1,2,268,3820422,85971353635,2019-10-02T01:05:19.907,349
T88H4K04014,-2001160226,11,1,146,3820422,85971353635,2019-10-02T00:05:56.703,32
T88H4XTU014,1853586747,8,0,4036,779763,270748224244,2019-10-02T00:05:59.830,15
T88H56M0014,1943669637,1,0,25,6154732,251782689291,2019-10-02T00:06:02.563,7
T88H7PZD014,-2126480950,5,0,1000,681093,1269791,2019-10-02T00:06:00.390,8
T88H7GMM014,-1683139860,1,0,21,6154732,251782689291,2019-10-02T00:06:00.407,18
T88H8CVN014,1112399942,2,1,15,93593,12472129,2019-10-02T00:06:00.627,2
T88H8M8G014,1112399942,11,1,15,3820422,85971353635,2019-10-02T00:06:13.393,64
T88H9CEF014,-485264950,8,0,250,779763,270748224244,2019-10-02T00:06:04.640,14
T88HCWRW014,-351017167,11,1,731,3820422,85971353635,2019-10-02T00:06:13.440,89
T88HD364014,453920397,1,2,235,3820422,85971353635,2019-10-02T00:06:06.237,28
T88HEB5Z014,383169537,11,1,551,3820422,85971353635,2019-10-02T00:06:11.000,1
T88HEBEB014,-750165736,11,0,41,6154732,251782689291,2019-10-02T00:06:06.783,4
T88HEF3W014,-153672097,1,0,290,6154732,251782689291,2019-10-02T02:12:32.590,910
T88HF5CB014,1853586747,8,0,951,779763,270748224244,2019-10-02T00:06:13.360,15
T88HVK8J014,1640109021,8,0,562,0,123456,2019-10-02T00:06:19.503,2
T88HXEKF014,950210933,11,1,89,3820422,85971353635,2019-10-02T00:06:27.007,175
T88HXRRB014,316863946,1,0,47,6154732,251782689291,2019-10-02T00:06:22.130,6
T88HX4VG014,839739010,11,0,1878,6154732,251782689291,2019-10-02T00:06:22.147,3
T88HY7BB014,1946221184,1,0,1197,6154732,251782689291,2019-10-02T00:06:22.677,10
T88HZT80014,-68602258,11,0,217,6154732,251782689291,2019-10-02T00:06:23.770,4
T88HZDND014,83779458,8,0,1912,6154732,251782689291,2019-10-02T00:06:25.897,5
